,Or1a,Or2a,Or7a,Or13a,Or22c,Or24a,Or30a,Or33b,Or35a,Or42a,Or42b,Or45a,Or45b,Or47a,Or49a,Or59a,Or67b,Or74a,Or82a,Or83a,Or85c
sfr,0.14857142857142858,0.19142857142857142,0.17714285714285713,0.15714285714285714,0.17714285714285713,0.18857142857142858,0.16,0.1742857142857143,0.17714285714285713,0.18,0.16285714285714287,0.18,0.1657142857142857,0.1457142857142857,0.16,0.16857142857142857,0.17714285714285713,0.18857142857142858,0.18857142857142858,0.16571428571428571,0.16857142857142857
propanoic acid,0.16,0.1742857142857143,0.054285714285714284,0.13142857142857142,0.16857142857142857,0.17714285714285713,0.14,0.18,0.12285714285714286,0.2857142857142857,0.2542857142857143,0.20285714285714285,0.17142857142857143,0.09142857142857143,0.16857142857142857,0.15714285714285714,0.18,0.18857142857142858,0.20285714285714285,0.16571428571428571,0.2
geranyl acetate,0.15714285714285714,0.19714285714285715,0.19428571428571428,0.13714285714285715,0.15428571428571428,0.19142857142857142,0.15142857142857144,0.1742857142857143,0.1742857142857143,0.22285714285714286,0.14,0.2542857142857143,0.1742857142857143,0.13428571428571429,0.17714285714285713,0.16857142857142857,0.18857142857142858,0.18571428571428572,0.44,0.16571428571428571,0.16857142857142857
(1R)-(-)-fenchone,0.14857142857142858,0.19142857142857142,0.13714285714285715,0.12,0.13714285714285715,0.13714285714285715,0.1657142857142857,0.17714285714285713,0.14,0.1742857142857143,0.11714285714285715,0.26857142857142857,0.15428571428571428,0.12285714285714286,0.18571428571428572,0.21428571428571427,0.1742857142857143,0.18571428571428572,0.21714285714285714,0.16571428571428571,0.1457142857142857
E2-hexenal,0.18285714285714286,0.20857142857142857,0.6828571428571428,0.38,0.1657142857142857,0.16857142857142857,0.16857142857142857,0.15428571428571428,0.5971428571428572,0.7057142857142857,0.19142857142857142,0.44,0.21142857142857144,0.1742857142857143,0.22,0.2,0.5514285714285714,0.4685714285714286,0.20857142857142857,0.16571428571428571,0.44857142857142857
2-heptanone,0.24,0.2714285714285714,0.21142857142857144,0.29714285714285715,0.20285714285714285,0.16285714285714287,0.19142857142857142,0.15142857142857144,0.3514285714285714,0.6314285714285715,0.23142857142857143,0.6314285714285715,0.22285714285714286,0.5257142857142857,0.26857142857142857,0.23142857142857143,0.6257142857142857,0.36,0.24,0.16571428571428571,0.6771428571428572
"2,3-butanedione",0.16857142857142857,0.21142857142857144,0.2342857142857143,0.15142857142857144,0.15428571428571428,0.20857142857142857,0.16857142857142857,0.16,0.16857142857142857,0.7942857142857143,0.58,0.24857142857142858,0.21428571428571427,0.23142857142857143,0.21142857142857144,0.20857142857142857,0.2885714285714286,0.20285714285714285,0.19428571428571428,0.16571428571428571,0.28
cyclohexanone,0.16857142857142857,0.19714285714285715,0.1657142857142857,0.14,0.12857142857142856,0.14285714285714285,0.15428571428571428,0.16857142857142857,0.5057142857142857,0.3314285714285714,0.2542857142857143,0.31142857142857144,0.21142857142857144,0.13428571428571429,0.17714285714285713,0.2257142857142857,0.40285714285714286,0.3657142857142857,0.16,0.16571428571428571,0.18285714285714286
methyl salicylate,0.2342857142857143,0.19714285714285715,0.19428571428571428,0.12285714285714286,0.7457142857142857,0.3457142857142857,0.21714285714285714,0.1657142857142857,0.13142857142857142,0.18857142857142858,0.12285714285714286,0.17142857142857143,0.1657142857142857,0.12857142857142856,0.16285714285714287,0.2,0.15714285714285714,0.1742857142857143,0.17714285714285713,0.16571428571428571,0.14285714285714285
benzaldehyde,0.21714285714285714,0.18571428571428572,0.6771428571428572,0.12,0.1657142857142857,0.6371428571428571,0.6457142857142857,0.1657142857142857,0.2885714285714286,0.21142857142857144,0.13714285714285715,0.26571428571428574,0.8085714285714286,0.1657142857142857,0.16285714285714287,0.2,0.8257142857142857,0.26571428571428574,0.16,0.16571428571428571,0.18857142857142858
acetophenone,0.1742857142857143,0.19714285714285715,0.23142857142857143,0.11714285714285715,0.6028571428571429,0.8485714285714285,0.46,0.16,0.13428571428571429,0.28285714285714286,0.17142857142857143,0.32,0.9342857142857143,0.22857142857142856,0.1742857142857143,0.38,0.9914285714285714,0.20857142857142857,0.17142857142857143,0.16571428571428571,0.1
2-methylphenol,0.16857142857142857,0.17714285714285713,0.1457142857142857,0.11714285714285715,0.10857142857142857,0.2571428571428571,0.7571428571428571,0.1657142857142857,0.1657142857142857,0.1,0.13142857142857142,0.23714285714285716,0.9628571428571429,0.12571428571428572,0.17142857142857143,0.5571428571428572,0.15428571428571428,0.1742857142857143,0.16285714285714287,0.16571428571428571,0.12
4-methoxybenzene,0.16285714285714287,0.19142857142857142,0.1457142857142857,0.11142857142857143,0.3628571428571429,0.8171428571428572,0.74,0.15714285714285714,0.14285714285714285,0.25142857142857145,0.12857142857142856,0.2257142857142857,0.5371428571428571,0.18,0.15714285714285714,0.46,0.39714285714285713,0.18285714285714286,0.18285714285714286,0.16571428571428571,0.18
"4-allyl-1,2-dimethoxybenzene",0.14857142857142858,0.19142857142857142,0.14857142857142858,0.12571428571428572,0.1457142857142857,0.15142857142857144,0.18571428571428572,0.17142857142857143,0.18,0.14285714285714285,0.1742857142857143,0.19428571428571428,0.18285714285714286,0.11428571428571428,0.1657142857142857,0.54,0.17142857142857143,0.18571428571428572,0.17142857142857143,0.16571428571428571,0.1742857142857143
4-methylphenol,0.18571428571428572,0.17714285714285713,0.1457142857142857,0.12285714285714286,0.1657142857142857,0.1742857142857143,0.6885714285714286,0.16857142857142857,0.14,0.13428571428571429,0.1,0.2342857142857143,0.44285714285714284,0.12857142857142856,0.17142857142857143,0.16,0.16857142857142857,0.18571428571428572,0.17714285714285713,0.16571428571428571,0.12285714285714286
